,ObjectId,Country,Technology,Energy_Type,Unit,CTS_Full_Descriptor,F2000,F2003,F2005,F2007,F2009,F2010,F2012,F2014,F2016,F2018,F2020,F2021,F2023
0,1,Advanced Economies,Bioenergy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",109628.668,122991.148,150757.179,169043.661,182491.37,200345.451,223861.248,250919.577,274561.81,286653.446,294178.354,306827.472,49763.19554529796
1,2,Advanced Economies,Bioenergy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",17606.311,23122.542,28101.663,31862.422,36621.876,38832.235,43760.101,48343.151,52940.018,58206.997,60789.85,59564.44,62146.697
2,3,Advanced Economies,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",5563047.84,5841662.48,6049546.885,6279259.939,5832708.822,6192999.013,6195126.418,5957377.37,5863974.474,5785386.448,5240196.496,5401739.239,49763.19554529796
3,4,Advanced Economies,Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",1267681.571,1397287.372,1438534.309,1468869.44,1509342.741,1535856.395,1545428.145,1542498.011,1503912.875,1512610.754,1477595.925,1476335.267,1464243.522
4,5,Advanced Economies,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",1219908.376,1134305.816,1186719.73,1163864.435,1209430.558,1188947.72,1263112.58,1250083.974,1243652.987,1270052.391,1276615.396,1236759.8,49763.19554529796
5,6,Advanced Economies,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",310812.01,320735.378,323683.559,327072.281,330905.286,337048.919,339527.789,341501.459,350025.701,353767.499,355645.507,357554.788,360211.858
6,7,Advanced Economies,Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",1224.52,2192.165,4080.714,7121.414,13981.798,25009.581,80326.051,140744.108,208279.268,285388.999,382804.368,447421.759,49763.19554529796
7,8,Advanced Economies,Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",1140.913,2186.321,4646.574,8043.859,18969.493,35164.127,85698.64,131900.548,188004.765,243177.784,329532.676,385512.789,526888.817
8,9,Advanced Economies,Wind energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",23575.989,45986.114,71323.438,118359.412,178995.066,210693.727,308985.994,402905.782,506976.034,634114.307,803143.743,822253.835,49763.19554529796
9,10,Advanced Economies,Wind energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",13094.115,28989.046,41199.83,60650.888,94384.617,106842.594,146728.178,176129.981,220561.396,261837.046,312490.978,338841.791,390964.43
10,11,"Afghanistan, Islamic Rep. of",Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",31.64,110.101,270.93,310.358,192.6,179.3,193.575,170.138,148.318,192.93,151.79,257.78,49763.19554529796
11,12,"Afghanistan, Islamic Rep. of",Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",29.725,37.033,52.013,52.013,130.111,169.311,235.911,236.661,236.661,236.661,276.661,276.661,276.661
12,13,"Afghanistan, Islamic Rep. of",Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",457.939,458.324,461.584,691.79,753.827,803.139,736.146,967.683,1024.908,881.785,988.256,849.791,49763.19554529796
13,14,"Afghanistan, Islamic Rep. of",Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",191.503,191.619,192.601,196.457,212.901,241.35,273.248,280.146,329.044,348.993,348.993,356.608,459.138
14,15,"Afghanistan, Islamic Rep. of",Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,0.004,0.18,28.374,32.319,35.551,38.949,65.991,78.786,49763.19554529796
15,16,"Afghanistan, Islamic Rep. of",Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,0.002,0.102,16.122,18.363,20.2,22.116,31.053,31.226,33.243
16,17,"Afghanistan, Islamic Rep. of",Wind energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,0.123,0.123,0.123,0.123,0.123,0.123,49763.19554529796
17,18,"Afghanistan, Islamic Rep. of",Wind energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,0.1,0.1,0.1,0.4,0.4,0.4,0.4
18,19,Africa,Bioenergy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",2200.46,2275.012,2384.18,2348.705,2462.581,2557.881,2880.503,2914.552,3269.951,3321.472,3108.891,3147.22,49763.19554529796
19,20,Africa,Bioenergy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",809.979,870.879,963.129,910.352,1007.281,1035.92,1214.213,1379.37,1522.685,1793.16,1819.417,1917.16,1898.996
20,21,Africa,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",322077.6829,394515.7399,445337.8234,476951.9753,492370.6438,521427.3928,564177.3059,594081.5287,604718.3774,637949.297,622666.9946,641533.397,49763.19554529796
21,22,Africa,Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",72252.3878,79231.6058,85289.6558,94116.5998,103221.5538,109815.2718,119278.9228,131734.8318,146611.4378,172522.2278,181831.1628,185015.8528,188733.24
22,23,Africa,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",76120.741,82676.756,94347.744,94886.337,105356.413,109759.816,112258.42,122284.174,118245.626,135415.493,148310.887,155558.247,49763.19554529796
23,24,Africa,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",20842.063,21582.134,21549.76,21722.38,23821.025,24631.588,25445.982,26728.223,28166.093,32287.93,33852.455,34332.865,37083.682
24,25,Africa,Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",11.648,20.926,30.604,48.286,83.88,175.819,1054.822,2020.409,5130.086,10232.217,17423.468,21046.747,49763.19554529796
25,26,Africa,Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",8.555,15.119,22.012,38.011,87.141,210.725,337.668,1630.376,3296.107,7944.276,10658.712,11581.588,13438.073
26,27,Africa,Wind energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",185.094,468.361,804.174,990.876,1483.647,2012.29,2830.708,4477.434,7006.378,7845.297,10741.542,12737.23,49763.19554529796
27,28,Africa,Wind energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",139.05,153.79,240.18,470.1,742.4,864.777,1131.994,2399.398,3831.394,5470.653,6513.753,6908.753,8653.628
28,29,Albania,Bioenergy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,78257.91501984854,81273.99619635667,83932.10295350554,84261.38771685425,86320.45860797107,1.425,1.425,1.425,1.425
29,30,Albania,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",184.0,107.0,70.0,72.0,1.0,1.0,83932.10295350554,84261.38771685425,86320.45860797107,91560.91145717225,92786.70800058803,97445.23709047843,49763.19554529796
30,31,Albania,Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",224.0,224.0,224.0,224.0,78257.91501984854,81273.99619635667,97.0,98.0,98.0,98.0,97.0,97.0,97.0
31,32,Albania,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",4594.0,4885.0,5373.0,2788.0,5201.0,7567.0,4725.0,4724.441,7781.702,8552.152,5280.901,8921.94,49763.19554529796
32,33,Albania,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",1453.0,1453.0,1453.0,1455.0,1459.0,1475.0,1628.0,1725.0,1913.0,2105.0,2387.0,2507.0,2493.0
33,34,Albania,Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,0.272,0.272,0.272,0.408,0.544,0.924,1.188,1.36,1.334,32.265,40.77,49763.19554529796
34,35,Albania,Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,0.2,0.2,0.2,0.3,0.4,0.679,0.874,1.0,1.0,21.0,23.0,240.14
35,36,Algeria,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",25358.0,29306.4,32320.0,36970.0,38195.0,45560.0,56775.0,63988.0,70661.0,75880.0,78432.0,84729.0,49763.19554529796
36,37,Algeria,Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",5846.21,6465.24,7576.02,8629.46,11565.66,11751.094,13317.88,16491.36,19574.4,21583.9,24763.5,25219.5,27219.5
